terminology,readcode,readterm
-, 246.., - 
-, 2460, -
-, 2461, -
-, 2462, -
-, 2463, -
-, 2464, -
-, 2465, -
-, 2466, -
-, 2467,-
-, 246A, -
-, 246B, -
-, 246C, -
-, 246D, -
-, 246E, -
-, 246F, -
-, 246G, -
-, 246J,-
-, 246P, -
-, 246T, -
-, 246R, -
-, 246X, -
-, 246V, -
-, 246c, -
-, 246g, -
-, XaF4S, -
-, XaF4a, -
-, XaF4b,-
-, XaJ2F, -
-, XaJ2H, -
-, XaKFw,-
-, G20.., -
